FY	Character_Title	Fund_Title	Department_Title	SubObjTitle	budget	Dept	Fund	Char	Sub.obj
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	MDO-Office of Technology	Auto-motor Vehicle/non-punitive Dam	750	4	10	5	0571N
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	Books and Other Publications	7446	4	10	3	304
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Commercial off-shelf Comp Software	2259056	4	10	2	216
2014	Equipment	General Operating Fund	MDO-Office of Technology	Computer Equipment & Peripherals	938805	4	10	4	427
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Dues	29528	4	10	2	255
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Electric Current-structures/streets	211000	4	10	2	220
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	Electrical and Communication	462699	4	10	3	310
2014	Equipment	General Operating Fund	MDO-Office of Technology	Electrical Lighting Communication	793225	4	10	4	410
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Employee Relocation Expenses	2649	4	10	2	213
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	Food	28	4	10	3	313
2014	Equipment	General Operating Fund	MDO-Office of Technology	Furniture and Furnishings	80638	4	10	4	430
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	General Hardware and Minor Tools	198	4	10	3	316
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Ground and Building Rental	26874	4	10	2	284
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Holiday "G"(2/3 Shifts)	36988	4	10	1	171
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Information Technology-prof Service	9637646	4	10	2	251
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Maint/support-computr Hardware/soft	4806841	4	10	2	266
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Meals-non-travel & officl Entertain	1146	4	10	2	230
2014	Equipment	General Operating Fund	MDO-Office of Technology	Office Equipment	38711	4	10	4	420
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	Office Materials and Supplies	54944	4	10	3	320
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Overtime-civilian	633199	4	10	1	161
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Perm Full Time-civilian	16049329	4	10	1	101
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Perm Part Time	104906	4	10	1	111
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Plus/minus Gross Adj	211273	4	10	1	109
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Postage	3975	4	10	2	210
2014	Equipment	General Operating Fund	MDO-Office of Technology	Precision, Photographic and Artists	1477	4	10	4	424
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	Precision, Photographic and Artists	12390	4	10	3	324
2014	Materials and Supplies	General Operating Fund	MDO-Office of Technology	Printing	598	4	10	3	325
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Professional Consult/spec Services	1414776	4	10	2	250
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Rent/Lease-Purchase Computer Equipment	8455471	4	10	2	282
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Rents	700074	4	10	2	285
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Repair and Maintenance Charges	3893550	4	10	2	260
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Salary Control	248928	4	10	1	100
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Seminar and Training Sessions	113825	4	10	2	256
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Shift	11434	4	10	1	181
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Sick Pay(b Time)-civilian	15643	4	10	1	199
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Telephone	12658437	4	10	2	209
2014	Personal Services	General Operating Fund	MDO-Office of Technology	Temporary/seasonal	168589	4	10	1	121
2014	Purchase of Services	General Operating Fund	MDO-Office of Technology	Transportation	21408	4	10	2	211
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Commercial off-shelf Comp Software	1465399	4	20	2	216
2014	Equipment	Water Operating Fund	MDO-Office of Technology	Computer Equipment & Peripherals	709108	4	20	4	427
2014	Personal Services	Water Operating Fund	MDO-Office of Technology	Holiday "G"(2/3 Shifts)	2607	4	20	1	171
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Information Technology-prof Service	5806882	4	20	2	251
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Maint/support-computr Hardware/soft	1153847	4	20	2	266
2014	Equipment	Water Operating Fund	MDO-Office of Technology	Office Equipment	23379	4	20	4	420
2014	Materials and Supplies	Water Operating Fund	MDO-Office of Technology	Office Materials and Supplies	42430	4	20	3	320
2014	Personal Services	Water Operating Fund	MDO-Office of Technology	Overtime-civilian	68643	4	20	1	161
2014	Personal Services	Water Operating Fund	MDO-Office of Technology	Perm Full Time-civilian	4399350	4	20	1	101
2014	Personal Services	Water Operating Fund	MDO-Office of Technology	Plus/minus Gross Adj	96951	4	20	1	109
2014	Materials and Supplies	Water Operating Fund	MDO-Office of Technology	Printing	169200	4	20	3	325
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Rent/Lease-Purchase Computer Equipment	17797	4	20	2	282
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Repair and Maintenance Charges	26299	4	20	2	260
2014	Personal Services	Water Operating Fund	MDO-Office of Technology	Salary Control	51928	4	20	1	100
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Seminar and Training Sessions	5988	4	20	2	256
2014	Personal Services	Water Operating Fund	MDO-Office of Technology	Shift	1735	4	20	1	181
2014	Purchase of Services	Water Operating Fund	MDO-Office of Technology	Telephone	1091249	4	20	2	209
2014	Purchase of Services	Grants Revenue Fund	MDO-Office of Technology	Commercial off-shelf Comp Software	64023	4	80	2	216
2014	Materials and Supplies	Grants Revenue Fund	MDO-Office of Technology	Electrical and Communication	95820	4	80	3	310
2014	Purchase of Services	Grants Revenue Fund	MDO-Office of Technology	Information Technology-prof Service	248493	4	80	2	251
2014	Payments to Other Funds	Grants Revenue Fund	MDO-Office of Technology	Payments To Capital Projects Fund	1259529	4	80	8	804
2014	Payments to Other Funds	Grants Revenue Fund	MDO-Office of Technology	Payments To General Fund	24630696	4	80	8	801
2014	Purchase of Services	Airport Operating Fund	MDO-Office of Technology	Commercial off-shelf Comp Software	104309	4	90	2	216
2014	Equipment	Airport Operating Fund	MDO-Office of Technology	Computer Equipment & Peripherals	714430	4	90	4	427
2014	Purchase of Services	Airport Operating Fund	MDO-Office of Technology	Information Technology-prof Service	3812375	4	90	2	251
2014	Purchase of Services	Airport Operating Fund	MDO-Office of Technology	Maint/support-computr Hardware/soft	487532	4	90	2	266
2014	Personal Services	Airport Operating Fund	MDO-Office of Technology	Overtime-civilian	17	4	90	1	161
2014	Personal Services	Airport Operating Fund	MDO-Office of Technology	Perm Full Time-civilian	224056	4	90	1	101
2014	Personal Services	Airport Operating Fund	MDO-Office of Technology	Plus/minus Gross Adj	6314	4	90	1	109
2014	Purchase of Services	Airport Operating Fund	MDO-Office of Technology	Telephone	637457	4	90	2	209
2014	Purchase of Services	General Operating Fund	Mayor's Office	Advertising/Promotional Activities	5474	5	10	2	240
2014	Materials and Supplies	General Operating Fund	Mayor's Office	Books and Other Publications	4579	5	10	3	304
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Mayor's Office	Civil Rights - Attorney Fees	13525	5	10	5	588
2014	Equipment	General Operating Fund	Mayor's Office	Computer Equipment & Peripherals	173	5	10	4	427
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Mayor's Office	Contract Claims-city Breach Contrct	175680	5	10	5	583
2014	Purchase of Services	General Operating Fund	Mayor's Office	Dues	97440	5	10	2	255
2014	Materials and Supplies	General Operating Fund	Mayor's Office	Food	3818	5	10	3	313
2014	Purchase of Services	General Operating Fund	Mayor's Office	Maint/support-computr Hardware/soft	1550	5	10	2	266
2014	Purchase of Services	General Operating Fund	Mayor's Office	Meals-non-travel & officl Entertain	10755	5	10	2	230
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Mayor's Office	Meritorious Awards	200000	5	10	5	504
2014	Materials and Supplies	General Operating Fund	Mayor's Office	Office Materials and Supplies	18135	5	10	3	320
2014	Personal Services	General Operating Fund	Mayor's Office	Perm Full Time-civilian	3860514	5	10	1	101
2014	Personal Services	General Operating Fund	Mayor's Office	Perm Part Time	18227	5	10	1	111
2014	Personal Services	General Operating Fund	Mayor's Office	Plus/minus Gross Adj	10994	5	10	1	109
2014	Purchase of Services	General Operating Fund	Mayor's Office	Postage	242	5	10	2	210
2014	Materials and Supplies	General Operating Fund	Mayor's Office	Precision, Photographic and Artists	995	5	10	3	324
2014	Materials and Supplies	General Operating Fund	Mayor's Office	Printing	6829	5	10	3	325
2014	Purchase of Services	General Operating Fund	Mayor's Office	Professional Consult/spec Services	728983	5	10	2	250
2014	Purchase of Services	General Operating Fund	Mayor's Office	Rents	4589	5	10	2	285
2014	Purchase of Services	General Operating Fund	Mayor's Office	Repair and Maintenance Charges	20082	5	10	2	260
2014	Personal Services	General Operating Fund	Mayor's Office	Salary Control	41800	5	10	1	100
2014	Purchase of Services	General Operating Fund	Mayor's Office	Seminar and Training Sessions	2635	5	10	2	256
2014	Purchase of Services	General Operating Fund	Mayor's Office	Telephone	77	5	10	2	209
2014	Personal Services	General Operating Fund	Mayor's Office	Temporary/seasonal	24835	5	10	1	121
2014	Purchase of Services	General Operating Fund	Mayor's Office	Transportation	50086	5	10	2	211
2014	Equipment	Grants Revenue Fund	Mayor's Office	Computer Equipment & Peripherals	1166	5	80	4	427
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office	Information Technology-prof Service	125	5	80	2	251
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office	Meals-non-travel & officl Entertain	1823	5	80	2	230
2014	Equipment	Grants Revenue Fund	Mayor's Office	Office Equipment	678	5	80	4	420
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office	Office Materials and Supplies	6074	5	80	3	320
2014	Personal Services	Grants Revenue Fund	Mayor's Office	Perm Full Time-civilian	191227	5	80	1	101
2014	Personal Services	Grants Revenue Fund	Mayor's Office	Perm Part Time	81939	5	80	1	111
2014	Personal Services	Grants Revenue Fund	Mayor's Office	Plus/minus Gross Adj	2231	5	80	1	109
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office	Printing	2580	5	80	3	325
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office	Professional Consult/spec Services	530524	5	80	2	250
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office	Repair and Maintenance Charges	804	5	80	2	260
2014	Personal Services	Grants Revenue Fund	Mayor's Office	Salary Control	54	5	80	1	100
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office	Seminar and Training Sessions	500	5	80	2	256
2014	Personal Services	Grants Revenue Fund	Mayor's Office	Temporary/seasonal	683567	5	80	1	121
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office	Transportation	1847	5	80	2	211
2014	Payments to Other Funds	General Operating Fund	Office of Housing	Payments To Grants Revenue Fund	50959	6	10	8	812
2014	Purchase of Services	General Operating Fund	Office of Housing	Professional Consult/spec Services	4009500	6	10	2	250
2014	Personal Services	Grants Revenue Fund	Office of Housing	FICA Taxes	14122	6	80	1	192
2014	Purchase of Services	Grants Revenue Fund	Office of Housing	Ground and Building Rental	57629	6	80	2	284
2014	Personal Services	Grants Revenue Fund	Office of Housing	Group Legal Insurance	84	6	80	1	195
2014	Personal Services	Grants Revenue Fund	Office of Housing	Group Life Insurance	512	6	80	1	194
2014	Personal Services	Grants Revenue Fund	Office of Housing	Medical Health & Welfare Credit	39095	6	80	1	193
2014	Personal Services	Grants Revenue Fund	Office of Housing	Medicare Tax	3303	6	80	1	189
2014	Personal Services	Grants Revenue Fund	Office of Housing	Pension-actual	190419	6	80	1	191
2014	Personal Services	Grants Revenue Fund	Office of Housing	Pension-obligation Bond Payments	31466	6	80	1	190
2014	Personal Services	Grants Revenue Fund	Office of Housing	Perm Full Time-civilian	242614	6	80	1	101
2014	Purchase of Services	Grants Revenue Fund	Office of Housing	Professional Consult/spec Services	41018910	6	80	2	250
2014	Purchase of Services	Grants Revenue Fund	Office of Housing	Seminar and Training Sessions	727	6	80	2	256
2014	Purchase of Services	Grants Revenue Fund	Office of Housing	Transportation	609	6	80	2	211
2014	Personal Services	Grants Revenue Fund	Office of Housing	Worker's Comp-disability Comp	3858	6	80	1	187
2014	Purchase of Services	Community Development Fund	Office of Housing	Advertising/Promotional Activities	28860	6	100	2	240
2014	Materials and Supplies	Community Development Fund	Office of Housing	Books and Other Publications	1939	6	100	3	304
2014	Purchase of Services	Community Development Fund	Office of Housing	Cleaning and Laundering	60	6	100	2	201
2014	Purchase of Services	Community Development Fund	Office of Housing	Commercial off-shelf Comp Software	3973	6	100	2	216
2014	Purchase of Services	Community Development Fund	Office of Housing	Dues	962	6	100	2	255
2014	Materials and Supplies	Community Development Fund	Office of Housing	Gasoline	3177	6	100	3	345
2014	Purchase of Services	Community Development Fund	Office of Housing	Ground and Building Rental	322431	6	100	2	284
2014	Purchase of Services	Community Development Fund	Office of Housing	Information Technology-prof Service	2423	6	100	2	251
2014	Purchase of Services	Community Development Fund	Office of Housing	Legal Services	203	6	100	2	253
2014	Purchase of Services	Community Development Fund	Office of Housing	Maint/support-computr Hardware/soft	25254	6	100	2	266
2014	Purchase of Services	Community Development Fund	Office of Housing	Meals-non-travel & officl Entertain	220	6	100	2	230
2014	Equipment	Community Development Fund	Office of Housing	Office Equipment	1206	6	100	4	420
2014	Materials and Supplies	Community Development Fund	Office of Housing	Office Materials and Supplies	73355	6	100	3	320
2014	Personal Services	Community Development Fund	Office of Housing	Overtime-civilian	8619	6	100	1	161
2014	Payments to Other Funds	Community Development Fund	Office of Housing	Payments To General Fund	19909	6	100	8	801
2014	Personal Services	Community Development Fund	Office of Housing	Perm Full Time-civilian	2212693	6	100	1	101
2014	Personal Services	Community Development Fund	Office of Housing	Plus/minus Gross Adj	2971	6	100	1	109
2014	Purchase of Services	Community Development Fund	Office of Housing	Postage	25124	6	100	2	210
2014	Materials and Supplies	Community Development Fund	Office of Housing	Printing	51015	6	100	3	325
2014	Purchase of Services	Community Development Fund	Office of Housing	Professional Consult/spec Services	43786261	6	100	2	250
2014	Purchase of Services	Community Development Fund	Office of Housing	Rents	10841	6	100	2	285
2014	Purchase of Services	Community Development Fund	Office of Housing	Repair and Maintenance Charges	23589	6	100	2	260
2014	Personal Services	Community Development Fund	Office of Housing	Salary Control	14852	6	100	1	100
2014	Purchase of Services	Community Development Fund	Office of Housing	Seminar and Training Sessions	11964	6	100	2	256
2014	Purchase of Services	Community Development Fund	Office of Housing	Telephone	12464	6	100	2	209
2014	Personal Services	Community Development Fund	Office of Housing	Temporary/seasonal	4965	6	100	1	121
2014	Purchase of Services	Community Development Fund	Office of Housing	Transportation	397	6	100	2	211
2014	Personal Services	Housing Trust Fund	Office of Housing	Perm Full Time-civilian	950000	6	120	1	101
2014	Purchase of Services	Housing Trust Fund	Office of Housing	Professional Consult/spec Services	20550000	6	120	2	250
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Advertising/Promotional Activities	16187	8	80	2	240
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Books and Other Publications	81	8	80	3	304
2014	Equipment	Grants Revenue Fund	Mayor's Office-Community Services	Computer Equipment & Peripherals	42	8	80	4	427
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Dry Goods/notions/wearing Apparel	1848	8	80	3	308
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Dues	5886	8	80	2	255
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Electrical and Communication	459	8	80	3	310
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	FICA Taxes	61948	8	80	1	192
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Ground and Building Rental	407968	8	80	2	284
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Group Life Insurance	4515	8	80	1	194
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Janitorial, Laundry and Household	25	8	80	3	318
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Maint/support-computr Hardware/soft	2775	8	80	2	266
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Meals-non-travel & officl Entertain	7309	8	80	2	230
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Medical Health & Welfare Credit	279423	8	80	1	193
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Medicare Tax	11218	8	80	1	189
2014	Equipment	Grants Revenue Fund	Mayor's Office-Community Services	Office Equipment	26576	8	80	4	420
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Office Materials and Supplies	6796	8	80	3	320
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Payments For Care of Individuals	147518	8	80	2	290
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Pension-actual	58038	8	80	1	191
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Pension-obligation Bond Payments	1021	8	80	1	190
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Perm Full Time-civilian	1948283	8	80	1	101
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Perm Part Time	94	8	80	1	111
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Plus/minus Gross Adj	25547	8	80	1	109
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Postage	2138	8	80	2	210
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Precision, Photographic and Artists	1632	8	80	3	324
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Printing	1160	8	80	3	325
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Professional Consult/spec Services	8966570	8	80	2	250
2014	Materials and Supplies	Grants Revenue Fund	Mayor's Office-Community Services	Recreational and Educational	159	8	80	3	326
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Refuse/garbage/silt/sludge Removal	1001	8	80	2	205
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Repair and Maintenance Charges	3540	8	80	2	260
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Salary Control	25516	8	80	1	100
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Seminar and Training Sessions	7990	8	80	2	256
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Telephone	6466	8	80	2	209
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Temporary/seasonal	311	8	80	1	121
2014	Purchase of Services	Grants Revenue Fund	Mayor's Office-Community Services	Transportation	7216	8	80	2	211
2014	Equipment	Grants Revenue Fund	Mayor's Office-Community Services	Vehicles -- Motor and Motorless	138221	8	80	4	428
2014	Personal Services	Grants Revenue Fund	Mayor's Office-Community Services	Worker's Comp-disability Comp	26269	8	80	1	187
2014	Purchase of Services	General Operating Fund	Managing Director	Advertising/Promotional Activities	375	10	10	2	240
2014	Materials and Supplies	General Operating Fund	Managing Director	Agricultural and Botanical	1184	10	10	3	301
2014	Equipment	General Operating Fund	Managing Director	Agricultural and Botanical	17081	10	10	4	401
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Managing Director	Auto - Motor Vehicle	70000	10	10	5	561
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Managing Director	Auto-motor Vehicle/non-punitive Dam	1000	10	10	5	0571N
2014	Materials and Supplies	General Operating Fund	Managing Director	Books and Other Publications	9643	10	10	3	304
2014	Materials and Supplies	General Operating Fund	Managing Director	Building and Construction	163681	10	10	3	305
2014	Purchase of Services	General Operating Fund	Managing Director	Commercial off-shelf Comp Software	164579	10	10	2	216
2014	Equipment	General Operating Fund	Managing Director	Computer Equipment & Peripherals	5275	10	10	4	427
2014	Materials and Supplies	General Operating Fund	Managing Director	Dry Goods/notions/wearing Apparel	26565	10	10	3	308
2014	Personal Services	General Operating Fund	Managing Director	Dual/relief-full time-civilian	160	10	10	1	102
2014	Purchase of Services	General Operating Fund	Managing Director	Dues	24897	10	10	2	255
2014	Materials and Supplies	General Operating Fund	Managing Director	Electrical and Communication	336	10	10	3	310
2014	Equipment	General Operating Fund	Managing Director	Electrical Lighting Communication	342	10	10	4	410
2014	Materials and Supplies	General Operating Fund	Managing Director	Fire Fighting and Safety	12247	10	10	3	312
2014	Materials and Supplies	General Operating Fund	Managing Director	Food	2103	10	10	3	313
2014	Equipment	General Operating Fund	Managing Director	Furniture and Furnishings	8035	10	10	4	430
2014	Materials and Supplies	General Operating Fund	Managing Director	General Equipment and Machinery	13435	10	10	3	311
2014	Equipment	General Operating Fund	Managing Director	General Equipment and Machinery	31364	10	10	4	411
2014	Materials and Supplies	General Operating Fund	Managing Director	General Hardware and Minor Tools	2365	10	10	3	316
2014	Purchase of Services	General Operating Fund	Managing Director	Ground and Building Rental	21435	10	10	2	284
2014	Personal Services	General Operating Fund	Managing Director	Holiday "G"(2/3 Shifts)	4038	10	10	1	171
2014	Materials and Supplies	General Operating Fund	Managing Director	Hospital and Laboratory	633	10	10	3	317
2014	Purchase of Services	General Operating Fund	Managing Director	Information Technology-prof Service	84089	10	10	2	251
2014	Materials and Supplies	General Operating Fund	Managing Director	Janitorial, Laundry and Household	118842	10	10	3	318
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Managing Director	Labor Standards Board Awards	263408	10	10	5	591
2014	Purchase of Services	General Operating Fund	Managing Director	Legal Services	48007282	10	10	2	253
2014	Purchase of Services	General Operating Fund	Managing Director	Licenses Permits Inspection Charges	35	10	10	2	215
2014	Materials and Supplies	General Operating Fund	Managing Director	Liquid Propane Gas (LPG)	434	10	10	3	342
2014	Materials and Supplies	General Operating Fund	Managing Director	Lubricants	409	10	10	3	335
2014	Purchase of Services	General Operating Fund	Managing Director	Maint/support-computr Hardware/soft	21112	10	10	2	266
2014	Purchase of Services	General Operating Fund	Managing Director	Meals-non-travel & officl Entertain	587	10	10	2	230
2014	Materials and Supplies	General Operating Fund	Managing Director	Motor Vehicle Parts and Accessories	8023	10	10	3	328
2014	Equipment	General Operating Fund	Managing Director	Office Equipment	13824	10	10	4	420
2014	Materials and Supplies	General Operating Fund	Managing Director	Office Materials and Supplies	38653	10	10	3	320
2014	Purchase of Services	General Operating Fund	Managing Director	Other Expenses (Not Otherwise Classified)	152375	10	10	2	299
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Managing Director	Other Non-automotive	11000	10	10	5	569
2014	Contributions, Indemnities, Refunds, Taxes	General Operating Fund	Managing Director	Other Non-automotive/non-punitive	1173	10	10	5	0579N
2014	Purchase of Services	General Operating Fund	Managing Director	Overtime Meals	522	10	10	2	231
2014	Personal Services	General Operating Fund	Managing Director	Overtime-civilian	476824	10	10	1	161
2014	Personal Services	General Operating Fund	Managing Director	Overtime/shift-uniform	175000	10	10	1	165
2014	Personal Services	General Operating Fund	Managing Director	Perm Full Time-civilian	14184604	10	10	1	101
