Equipment-General Operating Fund-MDO-Office of Technology-Furniture and Furnishings,80638
Materials and Supplies-General Operating Fund-MDO-Office of Technology-General Hardware and Minor Tools,198
Purchase of Services-General Operating Fund-MDO-Office of Technology-Ground and Building Rental,26874
"Personal Services-General Operating Fund-MDO-Office of Technology-Holiday ""G""(2/3 Shifts)",36988
Purchase of Services-General Operating Fund-MDO-Office of Technology-Information Technology-prof Service,9637646
Purchase of Services-General Operating Fund-MDO-Office of Technology-Maint/support-computr Hardware/soft,4806841
Purchase of Services-General Operating Fund-MDO-Office of Technology-Meals-non-travel & officl Entertain,1146
Equipment-General Operating Fund-MDO-Office of Technology-Office Equipment,38711
Materials and Supplies-General Operating Fund-MDO-Office of Technology-Office Materials and Supplies,54944
Personal Services-General Operating Fund-MDO-Office of Technology-Overtime-civilian,633199
Personal Services-General Operating Fund-MDO-Office of Technology-Perm Full Time-civilian,16049329
Personal Services-General Operating Fund-MDO-Office of Technology-Perm Part Time,104906
Personal Services-General Operating Fund-MDO-Office of Technology-Plus/minus Gross Adj,211273
Purchase of Services-General Operating Fund-MDO-Office of Technology-Postage,3975
"Equipment-General Operating Fund-MDO-Office of Technology-Precision, Photographic and Artists",1477
"Materials and Supplies-General Operating Fund-MDO-Office of Technology-Precision, Photographic and Artists",12390
Materials and Supplies-General Operating Fund-MDO-Office of Technology-Printing,598
Purchase of Services-General Operating Fund-MDO-Office of Technology-Professional Consult/spec Services,1414776
Purchase of Services-General Operating Fund-MDO-Office of Technology-Rent/Lease-Purchase Computer Equipment,8455471
Purchase of Services-General Operating Fund-MDO-Office of Technology-Rents,700074
Purchase of Services-General Operating Fund-MDO-Office of Technology-Repair and Maintenance Charges,3893550
Personal Services-General Operating Fund-MDO-Office of Technology-Salary Control,248928
Purchase of Services-General Operating Fund-MDO-Office of Technology-Seminar and Training Sessions,113825
Personal Services-General Operating Fund-MDO-Office of Technology-Shift,11434
Personal Services-General Operating Fund-MDO-Office of Technology-Sick Pay(b Time)-civilian,15643
Purchase of Services-General Operating Fund-MDO-Office of Technology-Telephone,12658437
Personal Services-General Operating Fund-MDO-Office of Technology-Temporary/seasonal,168589
Purchase of Services-General Operating Fund-MDO-Office of Technology-Transportation,21408
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Commercial off-shelf Comp Software,1465399
Equipment-Water Operating Fund-MDO-Office of Technology-Computer Equipment & Peripherals,709108
"Personal Services-Water Operating Fund-MDO-Office of Technology-Holiday ""G""(2/3 Shifts)",2607
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Information Technology-prof Service,5806882
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Maint/support-computr Hardware/soft,1153847
Equipment-Water Operating Fund-MDO-Office of Technology-Office Equipment,23379
Materials and Supplies-Water Operating Fund-MDO-Office of Technology-Office Materials and Supplies,42430
Personal Services-Water Operating Fund-MDO-Office of Technology-Overtime-civilian,68643
Personal Services-Water Operating Fund-MDO-Office of Technology-Perm Full Time-civilian,4399350
Personal Services-Water Operating Fund-MDO-Office of Technology-Plus/minus Gross Adj,96951
Materials and Supplies-Water Operating Fund-MDO-Office of Technology-Printing,169200
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Rent/Lease-Purchase Computer Equipment,17797
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Repair and Maintenance Charges,26299
Personal Services-Water Operating Fund-MDO-Office of Technology-Salary Control,51928
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Seminar and Training Sessions,5988
Personal Services-Water Operating Fund-MDO-Office of Technology-Shift,1735
Purchase of Services-Water Operating Fund-MDO-Office of Technology-Telephone,1091249
Purchase of Services-Grants Revenue Fund-MDO-Office of Technology-Commercial off-shelf Comp Software,64023
Materials and Supplies-Grants Revenue Fund-MDO-Office of Technology-Electrical and Communication,95820
Purchase of Services-Grants Revenue Fund-MDO-Office of Technology-Information Technology-prof Service,248493
Payments to Other Funds-Grants Revenue Fund-MDO-Office of Technology-Payments To Capital Projects Fund,1259529
Payments to Other Funds-Grants Revenue Fund-MDO-Office of Technology-Payments To General Fund,24630696
Purchase of Services-Airport Operating Fund-MDO-Office of Technology-Commercial off-shelf Comp Software,104309
Equipment-Airport Operating Fund-MDO-Office of Technology-Computer Equipment & Peripherals,714430
Purchase of Services-Airport Operating Fund-MDO-Office of Technology-Information Technology-prof Service,3812375
Purchase of Services-Airport Operating Fund-MDO-Office of Technology-Maint/support-computr Hardware/soft,487532
Personal Services-Airport Operating Fund-MDO-Office of Technology-Overtime-civilian,17
Personal Services-Airport Operating Fund-MDO-Office of Technology-Perm Full Time-civilian,224056
Personal Services-Airport Operating Fund-MDO-Office of Technology-Plus/minus Gross Adj,6314
Purchase of Services-Airport Operating Fund-MDO-Office of Technology-Telephone,637457
Purchase of Services-General Operating Fund-Mayor's Office-Advertising/Promotional Activities,5474
Materials and Supplies-General Operating Fund-Mayor's Office-Books and Other Publications,4579
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Mayor's Office-Civil Rights - Attorney Fees",13525
Equipment-General Operating Fund-Mayor's Office-Computer Equipment & Peripherals,173
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Mayor's Office-Contract Claims-city Breach Contrct",175680
Purchase of Services-General Operating Fund-Mayor's Office-Dues,97440
Materials and Supplies-General Operating Fund-Mayor's Office-Food,3818
Purchase of Services-General Operating Fund-Mayor's Office-Maint/support-computr Hardware/soft,1550
Purchase of Services-General Operating Fund-Mayor's Office-Meals-non-travel & officl Entertain,10755
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Mayor's Office-Meritorious Awards",200000
Materials and Supplies-General Operating Fund-Mayor's Office-Office Materials and Supplies,18135
Personal Services-General Operating Fund-Mayor's Office-Perm Full Time-civilian,3860514
Personal Services-General Operating Fund-Mayor's Office-Perm Part Time,18227
Personal Services-General Operating Fund-Mayor's Office-Plus/minus Gross Adj,10994
Purchase of Services-General Operating Fund-Mayor's Office-Postage,242
"Materials and Supplies-General Operating Fund-Mayor's Office-Precision, Photographic and Artists",995
Materials and Supplies-General Operating Fund-Mayor's Office-Printing,6829
Purchase of Services-General Operating Fund-Mayor's Office-Professional Consult/spec Services,728983
Purchase of Services-General Operating Fund-Mayor's Office-Rents,4589
Purchase of Services-General Operating Fund-Mayor's Office-Repair and Maintenance Charges,20082
Personal Services-General Operating Fund-Mayor's Office-Salary Control,41800
Purchase of Services-General Operating Fund-Mayor's Office-Seminar and Training Sessions,2635
Purchase of Services-General Operating Fund-Mayor's Office-Telephone,77
Personal Services-General Operating Fund-Mayor's Office-Temporary/seasonal,24835
Purchase of Services-General Operating Fund-Mayor's Office-Transportation,50086
Equipment-Grants Revenue Fund-Mayor's Office-Computer Equipment & Peripherals,1166
Purchase of Services-Grants Revenue Fund-Mayor's Office-Information Technology-prof Service,125
Purchase of Services-Grants Revenue Fund-Mayor's Office-Meals-non-travel & officl Entertain,1823
Equipment-Grants Revenue Fund-Mayor's Office-Office Equipment,678
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Office Materials and Supplies,6074
Personal Services-Grants Revenue Fund-Mayor's Office-Perm Full Time-civilian,191227
Personal Services-Grants Revenue Fund-Mayor's Office-Perm Part Time,81939
Personal Services-Grants Revenue Fund-Mayor's Office-Plus/minus Gross Adj,2231
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Printing,2580
Purchase of Services-Grants Revenue Fund-Mayor's Office-Professional Consult/spec Services,530524
Purchase of Services-Grants Revenue Fund-Mayor's Office-Repair and Maintenance Charges,804
Personal Services-Grants Revenue Fund-Mayor's Office-Salary Control,54
Purchase of Services-Grants Revenue Fund-Mayor's Office-Seminar and Training Sessions,500
Personal Services-Grants Revenue Fund-Mayor's Office-Temporary/seasonal,683567
Purchase of Services-Grants Revenue Fund-Mayor's Office-Transportation,1847
Payments to Other Funds-General Operating Fund-Office of Housing-Payments To Grants Revenue Fund,50959
Purchase of Services-General Operating Fund-Office of Housing-Professional Consult/spec Services,4009500
Personal Services-Grants Revenue Fund-Office of Housing-FICA Taxes,14122
Purchase of Services-Grants Revenue Fund-Office of Housing-Ground and Building Rental,57629
Personal Services-Grants Revenue Fund-Office of Housing-Group Legal Insurance,84
Personal Services-Grants Revenue Fund-Office of Housing-Group Life Insurance,512
Personal Services-Grants Revenue Fund-Office of Housing-Medical Health & Welfare Credit,39095
Personal Services-Grants Revenue Fund-Office of Housing-Medicare Tax,3303
Personal Services-Grants Revenue Fund-Office of Housing-Pension-actual,190419
Personal Services-Grants Revenue Fund-Office of Housing-Pension-obligation Bond Payments,31466
Personal Services-Grants Revenue Fund-Office of Housing-Perm Full Time-civilian,242614
Purchase of Services-Grants Revenue Fund-Office of Housing-Professional Consult/spec Services,41018910
Purchase of Services-Grants Revenue Fund-Office of Housing-Seminar and Training Sessions,727
Purchase of Services-Grants Revenue Fund-Office of Housing-Transportation,609
Personal Services-Grants Revenue Fund-Office of Housing-Worker's Comp-disability Comp,3858
Purchase of Services-Community Development Fund-Office of Housing-Advertising/Promotional Activities,28860
Materials and Supplies-Community Development Fund-Office of Housing-Books and Other Publications,1939
Purchase of Services-Community Development Fund-Office of Housing-Cleaning and Laundering,60
Purchase of Services-Community Development Fund-Office of Housing-Commercial off-shelf Comp Software,3973
Purchase of Services-Community Development Fund-Office of Housing-Dues,962
Materials and Supplies-Community Development Fund-Office of Housing-Gasoline,3177
Purchase of Services-Community Development Fund-Office of Housing-Ground and Building Rental,322431
Purchase of Services-Community Development Fund-Office of Housing-Information Technology-prof Service,2423
Purchase of Services-Community Development Fund-Office of Housing-Legal Services,203
Purchase of Services-Community Development Fund-Office of Housing-Maint/support-computr Hardware/soft,25254
Purchase of Services-Community Development Fund-Office of Housing-Meals-non-travel & officl Entertain,220
Equipment-Community Development Fund-Office of Housing-Office Equipment,1206
Materials and Supplies-Community Development Fund-Office of Housing-Office Materials and Supplies,73355
Personal Services-Community Development Fund-Office of Housing-Overtime-civilian,8619
Payments to Other Funds-Community Development Fund-Office of Housing-Payments To General Fund,19909
Personal Services-Community Development Fund-Office of Housing-Perm Full Time-civilian,2212693
Personal Services-Community Development Fund-Office of Housing-Plus/minus Gross Adj,2971
Purchase of Services-Community Development Fund-Office of Housing-Postage,25124
Materials and Supplies-Community Development Fund-Office of Housing-Printing,51015
Purchase of Services-Community Development Fund-Office of Housing-Professional Consult/spec Services,43786261
Purchase of Services-Community Development Fund-Office of Housing-Rents,10841
Purchase of Services-Community Development Fund-Office of Housing-Repair and Maintenance Charges,23589
Personal Services-Community Development Fund-Office of Housing-Salary Control,14852
Purchase of Services-Community Development Fund-Office of Housing-Seminar and Training Sessions,11964
Purchase of Services-Community Development Fund-Office of Housing-Telephone,12464
Personal Services-Community Development Fund-Office of Housing-Temporary/seasonal,4965
Purchase of Services-Community Development Fund-Office of Housing-Transportation,397
Personal Services-Housing Trust Fund-Office of Housing-Perm Full Time-civilian,950000
Purchase of Services-Housing Trust Fund-Office of Housing-Professional Consult/spec Services,20550000
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Advertising/Promotional Activities,16187
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Books and Other Publications,81
Equipment-Grants Revenue Fund-Mayor's Office-Community Services-Computer Equipment & Peripherals,42
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Dry Goods/notions/wearing Apparel,1848
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Dues,5886
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Electrical and Communication,459
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-FICA Taxes,61948
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Ground and Building Rental,407968
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Group Life Insurance,4515
"Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Janitorial, Laundry and Household",25
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Maint/support-computr Hardware/soft,2775
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Meals-non-travel & officl Entertain,7309
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Medical Health & Welfare Credit,279423
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Medicare Tax,11218
Equipment-Grants Revenue Fund-Mayor's Office-Community Services-Office Equipment,26576
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Office Materials and Supplies,6796
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Payments For Care of Individuals,147518
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Pension-actual,58038
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Pension-obligation Bond Payments,1021
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Perm Full Time-civilian,1948283
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Perm Part Time,94
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Plus/minus Gross Adj,25547
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Postage,2138
"Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Precision, Photographic and Artists",1632
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Printing,1160
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Professional Consult/spec Services,8966570
Materials and Supplies-Grants Revenue Fund-Mayor's Office-Community Services-Recreational and Educational,159
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Refuse/garbage/silt/sludge Removal,1001
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Repair and Maintenance Charges,3540
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Salary Control,25516
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Seminar and Training Sessions,7990
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Telephone,6466
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Temporary/seasonal,311
Purchase of Services-Grants Revenue Fund-Mayor's Office-Community Services-Transportation,7216
Equipment-Grants Revenue Fund-Mayor's Office-Community Services-Vehicles -- Motor and Motorless,138221
Personal Services-Grants Revenue Fund-Mayor's Office-Community Services-Worker's Comp-disability Comp,26269
Purchase of Services-General Operating Fund-Managing Director-Advertising/Promotional Activities,375
Materials and Supplies-General Operating Fund-Managing Director-Agricultural and Botanical,1184
Equipment-General Operating Fund-Managing Director-Agricultural and Botanical,17081
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Managing Director-Auto - Motor Vehicle",70000
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Managing Director-Auto-motor Vehicle/non-punitive Dam",1000
Materials and Supplies-General Operating Fund-Managing Director-Books and Other Publications,9643
Materials and Supplies-General Operating Fund-Managing Director-Building and Construction,163681
Purchase of Services-General Operating Fund-Managing Director-Commercial off-shelf Comp Software,164579
Equipment-General Operating Fund-Managing Director-Computer Equipment & Peripherals,5275
Materials and Supplies-General Operating Fund-Managing Director-Dry Goods/notions/wearing Apparel,26565
Personal Services-General Operating Fund-Managing Director-Dual/relief-full time-civilian,160
Purchase of Services-General Operating Fund-Managing Director-Dues,24897
Materials and Supplies-General Operating Fund-Managing Director-Electrical and Communication,336
Equipment-General Operating Fund-Managing Director-Electrical Lighting Communication,342
Materials and Supplies-General Operating Fund-Managing Director-Fire Fighting and Safety,12247
Materials and Supplies-General Operating Fund-Managing Director-Food,2103
Equipment-General Operating Fund-Managing Director-Furniture and Furnishings,8035
Materials and Supplies-General Operating Fund-Managing Director-General Equipment and Machinery,13435
Equipment-General Operating Fund-Managing Director-General Equipment and Machinery,31364
Materials and Supplies-General Operating Fund-Managing Director-General Hardware and Minor Tools,2365
Purchase of Services-General Operating Fund-Managing Director-Ground and Building Rental,21435
"Personal Services-General Operating Fund-Managing Director-Holiday ""G""(2/3 Shifts)",4038
Materials and Supplies-General Operating Fund-Managing Director-Hospital and Laboratory,633
Purchase of Services-General Operating Fund-Managing Director-Information Technology-prof Service,84089
"Materials and Supplies-General Operating Fund-Managing Director-Janitorial, Laundry and Household",118842
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Managing Director-Labor Standards Board Awards",263408
Purchase of Services-General Operating Fund-Managing Director-Legal Services,48007282
Purchase of Services-General Operating Fund-Managing Director-Licenses Permits Inspection Charges,35
Materials and Supplies-General Operating Fund-Managing Director-Liquid Propane Gas (LPG),434
Materials and Supplies-General Operating Fund-Managing Director-Lubricants,409
Purchase of Services-General Operating Fund-Managing Director-Maint/support-computr Hardware/soft,21112
Purchase of Services-General Operating Fund-Managing Director-Meals-non-travel & officl Entertain,587
Materials and Supplies-General Operating Fund-Managing Director-Motor Vehicle Parts and Accessories,8023
Equipment-General Operating Fund-Managing Director-Office Equipment,13824
Materials and Supplies-General Operating Fund-Managing Director-Office Materials and Supplies,38653
Purchase of Services-General Operating Fund-Managing Director-Other Expenses (Not Otherwise Classified),152375
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Managing Director-Other Non-automotive",11000
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Managing Director-Other Non-automotive/non-punitive",1173
Purchase of Services-General Operating Fund-Managing Director-Overtime Meals,522
Personal Services-General Operating Fund-Managing Director-Overtime-civilian,476824
Personal Services-General Operating Fund-Managing Director-Overtime/shift-uniform,175000
Personal Services-General Operating Fund-Managing Director-Perm Full Time-civilian,14184604
Personal Services-General Operating Fund-Managing Director-Perm Full Time-uniform,101264
Personal Services-General Operating Fund-Managing Director-Perm Part Time,21582
Personal Services-General Operating Fund-Managing Director-Plus/minus Gross Adj,106633
Purchase of Services-General Operating Fund-Managing Director-Postage,10055
"Equipment-General Operating Fund-Managing Director-Precision, Photographic and Artists",5518
"Materials and Supplies-General Operating Fund-Managing Director-Precision, Photographic and Artists",4123
Materials and Supplies-General Operating Fund-Managing Director-Printing,8442
Purchase of Services-General Operating Fund-Managing Director-Professional Consult/spec Services,9496272
Purchase of Services-General Operating Fund-Managing Director-Purchase of Services Control,48034
Materials and Supplies-General Operating Fund-Managing Director-Recreational and Educational,1658
Purchase of Services-General Operating Fund-Managing Director-Rent/Lease-Purchase Computer Equipment,27190
Purchase of Services-General Operating Fund-Managing Director-Rents,147161
Purchase of Services-General Operating Fund-Managing Director-Repair and Maintenance Charges,68172
Personal Services-General Operating Fund-Managing Director-Salary Control,100884
Purchase of Services-General Operating Fund-Managing Director-Seminar and Training Sessions,35948
Personal Services-General Operating Fund-Managing Director-Shift,23750
Personal Services-General Operating Fund-Managing Director-Sick Pay(b Time)-civilian,25653
Materials and Supplies-General Operating Fund-Managing Director-Small Power Tools and Hand Tools,12339
Purchase of Services-General Operating Fund-Managing Director-Telephone,33838
Personal Services-General Operating Fund-Managing Director-Temporary/seasonal,477244
Purchase of Services-General Operating Fund-Managing Director-Transportation,88642
Equipment-General Operating Fund-Managing Director-Vehicles -- Motor and Motorless,2075
Purchase of Services-General Operating Fund-Managing Director-Witness Fees,4531
Materials and Supplies-Grants Revenue Fund-Managing Director-Books and Other Publications,5565
Materials and Supplies-Grants Revenue Fund-Managing Director-Chemicals and Gases,1527
Purchase of Services-Grants Revenue Fund-Managing Director-Commercial off-shelf Comp Software,39870
Equipment-Grants Revenue Fund-Managing Director-Computer Equipment & Peripherals,40198
Materials and Supplies-Grants Revenue Fund-Managing Director-Dry Goods/notions/wearing Apparel,62760
Purchase of Services-Grants Revenue Fund-Managing Director-Electric Current-structures/streets,11691
Materials and Supplies-Grants Revenue Fund-Managing Director-Electrical and Communication,1137
Equipment-Grants Revenue Fund-Managing Director-Electrical Lighting Communication,24589
Personal Services-Grants Revenue Fund-Managing Director-FICA Taxes,3937
Equipment-Grants Revenue Fund-Managing Director-Fire Fighting and Emergency,12480
Materials and Supplies-Grants Revenue Fund-Managing Director-Fire Fighting and Safety,8374
Materials and Supplies-Grants Revenue Fund-Managing Director-Food,746
Equipment-Grants Revenue Fund-Managing Director-Furniture and Furnishings,1500
Personal Services-Grants Revenue Fund-Managing Director-Group Life Insurance,34
Materials and Supplies-Grants Revenue Fund-Managing Director-Hospital and Laboratory,16000
Equipment-Grants Revenue Fund-Managing Director-Hospital and Laboratory,7570
Purchase of Services-Grants Revenue Fund-Managing Director-Meals-non-travel & officl Entertain,175
Personal Services-Grants Revenue Fund-Managing Director-Medical Health & Welfare Credit,10347
Personal Services-Grants Revenue Fund-Managing Director-Medicare Tax,921
Equipment-Grants Revenue Fund-Managing Director-Office Equipment,2724
Materials and Supplies-Grants Revenue Fund-Managing Director-Office Materials and Supplies,10497
Purchase of Services-Grants Revenue Fund-Managing Director-Payments For Care of Individuals,201996
Personal Services-Grants Revenue Fund-Managing Director-Pension-actual,5469
Personal Services-Grants Revenue Fund-Managing Director-Perm Full Time-civilian,1248757
Personal Services-Grants Revenue Fund-Managing Director-Plus/minus Gross Adj,2247
"Equipment-Grants Revenue Fund-Managing Director-Precision, Photographic and Artists",7525
Materials and Supplies-Grants Revenue Fund-Managing Director-Printing,560
Purchase of Services-Grants Revenue Fund-Managing Director-Professional Consult/spec Services,1429980
Purchase of Services-Grants Revenue Fund-Managing Director-Purchase of Services Control,373
Purchase of Services-Grants Revenue Fund-Managing Director-Rents,37001
Purchase of Services-Grants Revenue Fund-Managing Director-Repair and Maintenance Charges,37183
Personal Services-Grants Revenue Fund-Managing Director-Salary Control,14052
Purchase of Services-Grants Revenue Fund-Managing Director-Seminar and Training Sessions,22904
Materials and Supplies-Grants Revenue Fund-Managing Director-Small Power Tools and Hand Tools,38999
Personal Services-Grants Revenue Fund-Managing Director-Temporary/seasonal,9900
Purchase of Services-Grants Revenue Fund-Managing Director-Transportation,23625
Personal Services-Grants Revenue Fund-Managing Director-Worker's Comp-disability Comp,1074
"Materials and Supplies-General Operating Fund-Police-Animal, Livestock and Marine Life",171277
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Police-Auto - Motor Vehicle",4740067
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Police-Auto -- Motor Vehicle",5700
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Police-Auto-motor Vehicle/non-punitive Dam",66072
"Equipment-General Operating Fund-Police-Bakeshop, Dining Room and Kitchen",249
Materials and Supplies-General Operating Fund-Police-Books and Other Publications,54275
Materials and Supplies-General Operating Fund-Police-Building and Construction,35495
Materials and Supplies-General Operating Fund-Police-Chemicals and Gases,21638
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Police-Civil Rights",13553719
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Police-Civil Rights - Attorney Fees",109724
"Contributions, Indemnities, Refunds, Taxes-General Operating Fund-Police-Civil Rights - Non-punitive Damages",750
Purchase of Services-General Operating Fund-Police-Cleaning and Laundering,2992700
Purchase of Services-General Operating Fund-Police-Commercial off-shelf Comp Software,3401
Equipment-General Operating Fund-Police-Computer Equipment & Peripherals,92370
Materials and Supplies-General Operating Fund-Police-Cordage and Fibers,1538
Materials and Supplies-General Operating Fund-Police-Dry Goods/notions/wearing Apparel,3761808
Purchase of Services-General Operating Fund-Police-Dues,5284
Materials and Supplies-General Operating Fund-Police-Electrical and Communication,38274
Equipment-General Operating Fund-Police-Electrical Lighting Communication,38437
Purchase of Services-General Operating Fund-Police-Employee Relocation Expenses,426
Equipment-General Operating Fund-Police-Fire Fighting and Emergency,18554
Materials and Supplies-General Operating Fund-Police-Fire Fighting and Safety,717803
Materials and Supplies-General Operating Fund-Police-Food,178071
Equipment-General Operating Fund-Police-Furniture and Furnishings,148694
Materials and Supplies-General Operating Fund-Police-Gasoline,109659
Materials and Supplies-General Operating Fund-Police-General Equipment and Machinery,41498
Equipment-General Operating Fund-Police-General Equipment and Machinery,600
