FY,Character_Title,Fund_Title,Department_Title,SubObjTitle,budget
2013,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Advertising/Promotional Activities,1887
2013,Purchase of Services,General Operating Fund,MDO-Office of Technology,Advertising/Promotional Activities,473.14
2013,Purchase of Services,Community Development Fund,Office of Housing,Advertising/Promotional Activities,51690.83
2013,Purchase of Services,General Operating Fund,Office of Property Assessments,Advertising/Promotional Activities,2500
2013,Purchase of Services,General Operating Fund,Office of Supportive Housing,Advertising/Promotional Activities,3238.3
2013,Purchase of Services,General Operating Fund,Personnel,Advertising/Promotional Activities,228.11
2013,Purchase of Services,General Operating Fund,Police,Advertising/Promotional Activities,5080
2013,Purchase of Services,General Operating Fund,Procurement,Advertising/Promotional Activities,2254633.74
2013,Purchase of Services,General Operating Fund,Recreation,Advertising/Promotional Activities,4485.51
2013,Purchase of Services,General Operating Fund,Revenue,Advertising/Promotional Activities,176.34
2013,Purchase of Services,General Operating Fund,Streets,Advertising/Promotional Activities,25696.32
2013,Purchase of Services,Water Operating Fund,Water,Advertising/Promotional Activities,152069.7
2013,Purchase of Services,General Operating Fund,Youth Commission,Advertising/Promotional Activities,649
2013,Materials and Supplies,General Operating Fund,City Council,Agricultural and Botanical,376
2013,Materials and Supplies,Airport Operating Fund,Commerce,Agricultural and Botanical,3944.6
2013,Equipment,Airport Operating Fund,Commerce,Agricultural and Botanical,11049
2013,Materials and Supplies,General Operating Fund,Fire,Agricultural and Botanical,5380.5
2013,Materials and Supplies,General Operating Fund,Free Library,Agricultural and Botanical,2716.25
2013,Equipment,General Operating Fund,Free Library,Agricultural and Botanical,1617.05
2013,Materials and Supplies,Grants Revenue Fund,Free Library,Agricultural and Botanical,650.01
2013,Equipment,Grants Revenue Fund,Free Library,Agricultural and Botanical,3387.09
2013,Equipment,General Operating Fund,Health,Agricultural and Botanical,1619.6
2013,Materials and Supplies,General Operating Fund,Managing Director,Agricultural and Botanical,9064.91
2013,Equipment,General Operating Fund,Managing Director,Agricultural and Botanical,13147
2013,Materials and Supplies,General Operating Fund,Office of Supportive Housing,Agricultural and Botanical,22
2013,Equipment,General Operating Fund,Office of Supportive Housing,Agricultural and Botanical,8381.97
2013,Materials and Supplies,General Operating Fund,Police,Agricultural and Botanical,90.91
2013,Equipment,General Operating Fund,Police,Agricultural and Botanical,968
2013,Materials and Supplies,General Operating Fund,Prisons,Agricultural and Botanical,894.06
2013,Materials and Supplies,General Operating Fund,Public Property,Agricultural and Botanical,79.88
2013,Materials and Supplies,General Operating Fund,Recreation,Agricultural and Botanical,120986.04
2013,Equipment,General Operating Fund,Recreation,Agricultural and Botanical,6398.62
2013,Materials and Supplies,General Operating Fund,Streets,Agricultural and Botanical,4986.1
2013,Equipment,General Operating Fund,Streets,Agricultural and Botanical,7278.36
2013,Materials and Supplies,Water Operating Fund,Water,Agricultural and Botanical,4298
2013,Equipment,Water Operating Fund,Water,Agricultural and Botanical,12020.65
2013,Materials and Supplies,Airport Operating Fund,Commerce,"Animal, Livestock and Marine Life",4077.8
2013,Materials and Supplies,General Operating Fund,Police,"Animal, Livestock and Marine Life",40037.56
2013,Materials and Supplies,Grants Revenue Fund,Police,"Animal, Livestock and Marine Life",42682
2013,Materials and Supplies,General Operating Fund,Prisons,"Animal, Livestock and Marine Life",903.8
2013,Materials and Supplies,General Operating Fund,Recreation,"Animal, Livestock and Marine Life",29.85
2013,Materials and Supplies,Water Operating Fund,Water,"Animal, Livestock and Marine Life",114.96
2013,Debt Service,Water Operating Fund,Sinking Fund Commission,Arbitrage Payments,30372.81
2013,Purchase of Services,General Operating Fund,1st Judicial District,Arbitration Fees,804700
2013,Purchase of Services,General Operating Fund,Law,Arbitration Fees,221704.67
2013,Purchase of Services,Water Operating Fund,Water,Arbitration Fees,270626
2013,Purchase of Services,Grants Revenue Fund,Commerce,Architectural & Engineering Srvcs,28046.47
2013,Purchase of Services,Airport Operating Fund,Commerce,Architectural & Engineering Srvcs,7591020.79
2013,Purchase of Services,General Operating Fund,Law,Architectural & Engineering Srvcs,327629.47
2013,Purchase of Services,Grants Revenue Fund,Police,Architectural & Engineering Srvcs,16870
2013,Purchase of Services,General Operating Fund,Prisons,Architectural & Engineering Srvcs,28580
2013,Purchase of Services,General Operating Fund,Public Property,Architectural & Engineering Srvcs,4650
2013,Purchase of Services,Water Operating Fund,Water,Architectural & Engineering Srvcs,4205439.14
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,1st Judicial District,Auto - Motor Vehicle,125000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Director of Finance,Auto - Motor Vehicle,162500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Fire,Auto - Motor Vehicle,405500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Fleet Management,Auto - Motor Vehicle,20500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Human Services,Auto - Motor Vehicle,113500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Police,Auto - Motor Vehicle,2947746.21
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Prisons,Auto - Motor Vehicle,227000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Public Property,Auto - Motor Vehicle,25000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Auto - Motor Vehicle,5000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Sheriff,Auto - Motor Vehicle,31000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Streets,Auto - Motor Vehicle,1495169.86
2013,"Contributions, Indemnities, Refunds, Taxes",Water Operating Fund,Water,Auto - Motor Vehicle,962691.43
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Fire,Auto -- Motor Vehicle,500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Police,Auto -- Motor Vehicle,10495.7
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Streets,Auto -- Motor Vehicle,8682.5
2013,Personal Services,General Operating Fund,Director of Finance,Auto Mechanic Tool Insurance,93750
2013,Personal Services,Water Operating Fund,Director of Finance,Auto Mechanic Tool Insurance,42600
2013,Personal Services,Airport Operating Fund,Director of Finance,Auto Mechanic Tool Insurance,15250
2013,"Contributions, Indemnities, Refunds, Taxes",Water Operating Fund,Water,Auto-motor Vehicle-non-punitive Dam,1500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Fire,Auto-motor Vehicle/non-punitive Dam,6451.41
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Fleet Management,Auto-motor Vehicle/non-punitive Dam,1500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Free Library,Auto-motor Vehicle/non-punitive Dam,1500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Human Services,Auto-motor Vehicle/non-punitive Dam,5175.5
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Licenses & Inspections,Auto-motor Vehicle/non-punitive Dam,1000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Auto-motor Vehicle/non-punitive Dam,8188.67
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Office of Supportive Housing,Auto-motor Vehicle/non-punitive Dam,500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Police,Auto-motor Vehicle/non-punitive Dam,51255.71
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Prisons,Auto-motor Vehicle/non-punitive Dam,1000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Public Property,Auto-motor Vehicle/non-punitive Dam,1000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Auto-motor Vehicle/non-punitive Dam,3750
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Sheriff,Auto-motor Vehicle/non-punitive Dam,1803.5
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Streets,Auto-motor Vehicle/non-punitive Dam,78130.99
2013,"Contributions, Indemnities, Refunds, Taxes",Water Operating Fund,Water,Auto-motor Vehicle/non-punitive Dam,31113.37
2013,Equipment,Airport Operating Fund,Commerce,"Bakeshop, Dining Room and Kitchen",3001.64
2013,Materials and Supplies,General Operating Fund,Fire,"Bakeshop, Dining Room and Kitchen",180.25
2013,Materials and Supplies,Grants Revenue Fund,Fire,"Bakeshop, Dining Room and Kitchen",185.1
2013,Equipment,General Operating Fund,Fleet Management,"Bakeshop, Dining Room and Kitchen",129
2013,Equipment,General Operating Fund,Free Library,"Bakeshop, Dining Room and Kitchen",494.8
2013,Equipment,Grants Revenue Fund,Free Library,"Bakeshop, Dining Room and Kitchen",2245.96
2013,Equipment,General Operating Fund,Health,"Bakeshop, Dining Room and Kitchen",6668.12
2013,Equipment,Grants Revenue Fund,Health,"Bakeshop, Dining Room and Kitchen",7225
2013,Materials and Supplies,Grants Revenue Fund,Human Services,"Bakeshop, Dining Room and Kitchen",148.43
2013,Equipment,General Operating Fund,Licenses & Inspections,"Bakeshop, Dining Room and Kitchen",499.99
2013,Equipment,Community Development Fund,Office of Housing,"Bakeshop, Dining Room and Kitchen",698
2013,Materials and Supplies,General Operating Fund,Office of Supportive Housing,"Bakeshop, Dining Room and Kitchen",343.14
2013,Equipment,General Operating Fund,Office of Supportive Housing,"Bakeshop, Dining Room and Kitchen",242.33
2013,Materials and Supplies,General Operating Fund,Prisons,"Bakeshop, Dining Room and Kitchen",31153.7
2013,Materials and Supplies,General Operating Fund,Public Property,"Bakeshop, Dining Room and Kitchen",702.7
2013,Equipment,General Operating Fund,Public Property,"Bakeshop, Dining Room and Kitchen",14034.78
2013,Equipment,General Operating Fund,Recreation,"Bakeshop, Dining Room and Kitchen",6132
2013,Materials and Supplies,Grants Revenue Fund,Recreation,"Bakeshop, Dining Room and Kitchen",3152333.94
2013,Equipment,Water Operating Fund,Water,"Bakeshop, Dining Room and Kitchen",3707.19
2013,Materials and Supplies,General Operating Fund,Fire,Bio-fuels,80
2013,Personal Services,General Operating Fund,Board of Building Standards,Board,12300
2013,Personal Services,General Operating Fund,Board of Licenses & Inspections,Board,31195
2013,Personal Services,General Operating Fund,Board of Revision of Taxes,Board,15300
2013,Personal Services,General Operating Fund,City Planning Commission,Board,2560
2013,Personal Services,General Operating Fund,Civil Service Commission,Board,54050
2013,Personal Services,General Operating Fund,Commission On Human Relations,Board,35115
2013,Personal Services,General Operating Fund,Director of Finance,Board,36200
2013,Personal Services,General Operating Fund,Historical Commission,Board,3360
2013,Personal Services,General Operating Fund,Prisons,Board,3430
2013,Personal Services,General Operating Fund,Zoning Board,Board,104523.86
2013,Materials and Supplies,General Operating Fund,Board of Ethics,Books and Other Publications,1737.5
2013,Materials and Supplies,Undistributed Pension Funds,Board of Pensions,Books and Other Publications,2153.05
2013,Materials and Supplies,General Operating Fund,Board of Revision of Taxes,Books and Other Publications,1395
2013,Materials and Supplies,General Operating Fund,City Commissioners,Books and Other Publications,2322.69
2013,Materials and Supplies,General Operating Fund,City Controller,Books and Other Publications,7017.23
2013,Materials and Supplies,Grants Revenue Fund,City Controller,Books and Other Publications,7839.82
2013,Materials and Supplies,General Operating Fund,City Council,Books and Other Publications,33713.54
2013,Materials and Supplies,General Operating Fund,City Planning Commission,Books and Other Publications,3582.49
2013,Materials and Supplies,General Operating Fund,City Representative,Books and Other Publications,28092.85
2013,Materials and Supplies,General Operating Fund,City Treasurer,Books and Other Publications,268.7
2013,Materials and Supplies,General Operating Fund,Commerce,Books and Other Publications,1435.5
2013,Materials and Supplies,Airport Operating Fund,Commerce,Books and Other Publications,68347.13
2013,Materials and Supplies,General Operating Fund,Commission On Human Relations,Books and Other Publications,1115
2013,Materials and Supplies,General Operating Fund,Director of Finance,Books and Other Publications,17691.14
2013,Materials and Supplies,General Operating Fund,District Attorney,Books and Other Publications,64432.57
2013,Materials and Supplies,General Operating Fund,Fire,Books and Other Publications,109047.67
2013,Materials and Supplies,Grants Revenue Fund,Fire,Books and Other Publications,3310.64
2013,Materials and Supplies,General Operating Fund,Fleet Management,Books and Other Publications,51778.45
2013,Materials and Supplies,Water Operating Fund,Fleet Management,Books and Other Publications,3718.5
2013,Materials and Supplies,General Operating Fund,Free Library,Books and Other Publications,3500
2013,Materials and Supplies,Grants Revenue Fund,Free Library,Books and Other Publications,453.2
2013,Materials and Supplies,General Operating Fund,Health,Books and Other Publications,20317.57
2013,Materials and Supplies,Grants Revenue Fund,Health,Books and Other Publications,3561.62
2013,Materials and Supplies,General Operating Fund,Human Services,Books and Other Publications,13.08
2013,Materials and Supplies,Grants Revenue Fund,Human Services,Books and Other Publications,937.29
2013,Materials and Supplies,General Operating Fund,Law,Books and Other Publications,158737.97
2013,Materials and Supplies,Water Operating Fund,Law,Books and Other Publications,12440.6
2013,Materials and Supplies,General Operating Fund,Licenses & Inspections,Books and Other Publications,7524.81
2013,Materials and Supplies,General Operating Fund,Managing Director,Books and Other Publications,959.97
2013,Materials and Supplies,General Operating Fund,Mayor's Office,Books and Other Publications,2250.91
2013,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Books and Other Publications,2480.44
2013,Materials and Supplies,General Operating Fund,Mayor's Office-Labor Relations,Books and Other Publications,5702.52
2013,Materials and Supplies,General Operating Fund,MDO-Office of Technology,Books and Other Publications,5937.26
2013,Materials and Supplies,Community Development Fund,Office of Housing,Books and Other Publications,2826.54
2013,Materials and Supplies,Grants Revenue Fund,Office of Beh Health & Int Disab Services,Books and Other Publications,4408.81
2013,Materials and Supplies,General Operating Fund,Office of Property Assessments,Books and Other Publications,23606.82
2013,Materials and Supplies,General Operating Fund,Office of Supportive Housing,Books and Other Publications,60
2013,Materials and Supplies,General Operating Fund,Personnel,Books and Other Publications,11155.91
2013,Materials and Supplies,General Operating Fund,Police,Books and Other Publications,42196.4
2013,Materials and Supplies,General Operating Fund,Prisons,Books and Other Publications,12732.56
2013,Materials and Supplies,General Operating Fund,Procurement,Books and Other Publications,7039.52
2013,Materials and Supplies,General Operating Fund,Public Property,Books and Other Publications,42889.68
2013,Materials and Supplies,General Operating Fund,Records,Books and Other Publications,1411.34
2013,Materials and Supplies,General Operating Fund,Recreation,Books and Other Publications,945.6
2013,Materials and Supplies,Grants Revenue Fund,Recreation,Books and Other Publications,500
2013,Materials and Supplies,General Operating Fund,Revenue,Books and Other Publications,15143.83
2013,Materials and Supplies,Water Operating Fund,Revenue,Books and Other Publications,2261.6
2013,Materials and Supplies,General Operating Fund,Sheriff,Books and Other Publications,287
2013,Materials and Supplies,General Operating Fund,Streets,Books and Other Publications,9045.04
2013,Materials and Supplies,Grants Revenue Fund,Streets,Books and Other Publications,1663
2013,Materials and Supplies,Water Operating Fund,Water,Books and Other Publications,29510.4
2013,Materials and Supplies,General Operating Fund,City Commissioners,Building and Construction,450
2013,Materials and Supplies,General Operating Fund,City Council,Building and Construction,1673.86
2013,Materials and Supplies,General Operating Fund,City Planning Commission,Building and Construction,147.59
2013,Materials and Supplies,Airport Operating Fund,Commerce,Building and Construction,660092.29
2013,Materials and Supplies,General Operating Fund,Fire,Building and Construction,19618.17
2013,Materials and Supplies,Grants Revenue Fund,Fire,Building and Construction,1520.19
2013,Materials and Supplies,General Operating Fund,Fleet Management,Building and Construction,131843.43
2013,Materials and Supplies,Water Operating Fund,Fleet Management,Building and Construction,15595.67
2013,Materials and Supplies,Airport Operating Fund,Fleet Management,Building and Construction,758.48
2013,Materials and Supplies,General Operating Fund,Free Library,Building and Construction,13280.26
2013,Materials and Supplies,Grants Revenue Fund,Free Library,Building and Construction,152127.86
2013,Materials and Supplies,General Operating Fund,Health,Building and Construction,48570.1
2013,Materials and Supplies,Grants Revenue Fund,Health,Building and Construction,19157.84
2013,Materials and Supplies,Grants Revenue Fund,Human Services,Building and Construction,1608.02
2013,Materials and Supplies,General Operating Fund,Licenses & Inspections,Building and Construction,63439.35
2013,Materials and Supplies,General Operating Fund,Managing Director,Building and Construction,221879.03
2013,Materials and Supplies,General Operating Fund,Office of Supportive Housing,Building and Construction,5538.95
2013,Materials and Supplies,General Operating Fund,Police,Building and Construction,16317.45
2013,Materials and Supplies,General Operating Fund,Prisons,Building and Construction,231264.07
2013,Materials and Supplies,General Operating Fund,Public Property,Building and Construction,180280.49
2013,Materials and Supplies,General Operating Fund,Recreation,Building and Construction,383163.07
2013,Materials and Supplies,General Operating Fund,Streets,Building and Construction,605264.3
2013,Materials and Supplies,County Liquid Fuels Tax Fund,Streets,Building and Construction,210804
2013,Materials and Supplies,Special Gasoline Tax Fund,Streets,Building and Construction,1342485.78
2013,Materials and Supplies,Water Operating Fund,Water,Building and Construction,2480117.14
2013,Materials and Supplies,Airport Operating Fund,Commerce,Chemicals and Gases,1474835.06
2013,Materials and Supplies,General Operating Fund,Fire,Chemicals and Gases,189783.84
2013,Materials and Supplies,Grants Revenue Fund,Fire,Chemicals and Gases,296.66
2013,Materials and Supplies,Airport Operating Fund,Fire,Chemicals and Gases,1700
2013,Materials and Supplies,General Operating Fund,Fleet Management,Chemicals and Gases,139944.85
2013,Materials and Supplies,Water Operating Fund,Fleet Management,Chemicals and Gases,2712.3
2013,Materials and Supplies,Airport Operating Fund,Fleet Management,Chemicals and Gases,2830.2
2013,Materials and Supplies,General Operating Fund,Free Library,Chemicals and Gases,6120
2013,Materials and Supplies,Grants Revenue Fund,Free Library,Chemicals and Gases,499.06
2013,Materials and Supplies,General Operating Fund,Health,Chemicals and Gases,634120.46
2013,Materials and Supplies,Grants Revenue Fund,Health,Chemicals and Gases,4790.34
2013,Materials and Supplies,General Operating Fund,Managing Director,Chemicals and Gases,710.6
2013,Materials and Supplies,General Operating Fund,Office of Supportive Housing,Chemicals and Gases,181.38
2013,Materials and Supplies,General Operating Fund,Police,Chemicals and Gases,18756.72
2013,Materials and Supplies,General Operating Fund,Prisons,Chemicals and Gases,24803.65
2013,Materials and Supplies,General Operating Fund,Public Property,Chemicals and Gases,14059.9
2013,Materials and Supplies,General Operating Fund,Recreation,Chemicals and Gases,146442.84
2013,Materials and Supplies,General Operating Fund,Streets,Chemicals and Gases,15492.43
2013,Materials and Supplies,Special Gasoline Tax Fund,Streets,Chemicals and Gases,915325
2013,Materials and Supplies,Water Operating Fund,Water,Chemicals and Gases,22643635.86
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,1st Judicial District,Civil Rights,52000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,City Council,Civil Rights,21113
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Director of Finance,Civil Rights,48189.51
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Civil Rights,175000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Personnel,Civil Rights,50000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Police,Civil Rights,9050746.72
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Prisons,Civil Rights,907000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Recreation,Civil Rights,320000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Sheriff,Civil Rights,40667
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Streets,Civil Rights,100000
2013,"Contributions, Indemnities, Refunds, Taxes",Water Operating Fund,Water,Civil Rights,38370
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,City Council,Civil Rights - Attorney Fees,16387
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Director of Finance,Civil Rights - Attorney Fees,46810.49
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Fire,Civil Rights - Attorney Fees,16000
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Mayor's Office,Civil Rights - Attorney Fees,118094
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Police,Civil Rights - Attorney Fees,581592.51
2013,"Contributions, Indemnities, Refunds, Taxes",Water Operating Fund,Water,Civil Rights - Attorney Fees,8580
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Police,Civil Rights - Non-punitive Damages,2665.14
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Prisons,Civil Rights - Non-punitive Damages,1500
2013,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Sheriff,Civil Rights - Non-punitive Damages,333
2013,Purchase of Services,General Operating Fund,City Council,Cleaning and Laundering,65
2013,Purchase of Services,General Operating Fund,District Attorney,Cleaning and Laundering,24500
2013,Purchase of Services,Grants Revenue Fund,District Attorney,Cleaning and Laundering,10500
2013,Purchase of Services,General Operating Fund,Fleet Management,Cleaning and Laundering,58644.2
2013,Purchase of Services,Water Operating Fund,Fleet Management,Cleaning and Laundering,4318
2013,Purchase of Services,Airport Operating Fund,Fleet Management,Cleaning and Laundering,5224.8
2013,Purchase of Services,General Operating Fund,Free Library,Cleaning and Laundering,31197
2013,Purchase of Services,Grants Revenue Fund,Free Library,Cleaning and Laundering,43009.84
2013,Purchase of Services,General Operating Fund,Health,Cleaning and Laundering,1085.5
2013,Purchase of Services,Grants Revenue Fund,Health,Cleaning and Laundering,1283.37
2013,Purchase of Services,General Operating Fund,Human Services,Cleaning and Laundering,686
2013,Purchase of Services,Grants Revenue Fund,Human Services,Cleaning and Laundering,686
2013,Purchase of Services,General Operating Fund,Licenses & Inspections,Cleaning and Laundering,741
2013,Purchase of Services,General Operating Fund,Office of Arts & Culture,Cleaning and Laundering,177.8
2013,Purchase of Services,General Operating Fund,Office of Supportive Housing,Cleaning and Laundering,39071.67
2013,Purchase of Services,General Operating Fund,Police,Cleaning and Laundering,3135991
2013,Purchase of Services,Airport Operating Fund,Police,Cleaning and Laundering,77000
2013,Purchase of Services,General Operating Fund,Prisons,Cleaning and Laundering,503378
2013,Purchase of Services,General Operating Fund,Public Property,Cleaning and Laundering,58307
2013,Purchase of Services,General Operating Fund,Recreation,Cleaning and Laundering,19140
2013,Purchase of Services,Grants Revenue Fund,Recreation,Cleaning and Laundering,30500
2013,Purchase of Services,General Operating Fund,Sheriff,Cleaning and Laundering,97000
2013,Purchase of Services,General Operating Fund,Streets,Cleaning and Laundering,10327.35
2013,Purchase of Services,Water Operating Fund,Water,Cleaning and Laundering,28810.35
2013,"Contributions, Indemnities, Refunds, Taxes",Water Operating Fund,Water,Clogged Sewers-non-punitive Damages,7467
2013,Purchase of Services,Undistributed Pension Funds,Board of Pensions,Commercial off-shelf Comp Software,20790
2013,Purchase of Services,General Operating Fund,City Commissioners,Commercial off-shelf Comp Software,56.86
2013,Purchase of Services,General Operating Fund,City Council,Commercial off-shelf Comp Software,1875.31
2013,Purchase of Services,General Operating Fund,City Planning Commission,Commercial off-shelf Comp Software,3599.61
2013,Purchase of Services,Airport Operating Fund,Commerce,Commercial off-shelf Comp Software,212157.42
2013,Purchase of Services,General Operating Fund,Director of Finance,Commercial off-shelf Comp Software,4414.04
2013,Purchase of Services,General Operating Fund,District Attorney,Commercial off-shelf Comp Software,51186.46
2013,Purchase of Services,Grants Revenue Fund,District Attorney,Commercial off-shelf Comp Software,2632.16
2013,Purchase of Services,General Operating Fund,Fire,Commercial off-shelf Comp Software,4994.63
2013,Purchase of Services,Grants Revenue Fund,Fire,Commercial off-shelf Comp Software,1937.19
2013,Purchase of Services,General Operating Fund,Free Library,Commercial off-shelf Comp Software,7869.35
2013,Purchase of Services,Grants Revenue Fund,Free Library,Commercial off-shelf Comp Software,83017.1
2013,Purchase of Services,General Operating Fund,Health,Commercial off-shelf Comp Software,42381.42
2013,Purchase of Services,Grants Revenue Fund,Health,Commercial off-shelf Comp Software,87629.79
2013,Purchase of Services,Acute Care Hospital Assessment Fund,Health,Commercial off-shelf Comp Software,31666.92
2013,Purchase of Services,General Operating Fund,Human Services,Commercial off-shelf Comp Software,155052.12
2013,Purchase of Services,Grants Revenue Fund,Human Services,Commercial off-shelf Comp Software,241630.03
2013,Purchase of Services,General Operating Fund,Law,Commercial off-shelf Comp Software,5038.5
2013,Purchase of Services,General Operating Fund,Managing Director,Commercial off-shelf Comp Software,150081.59
2013,Purchase of Services,Grants Revenue Fund,Managing Director,Commercial off-shelf Comp Software,181250
2013,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Commercial off-shelf Comp Software,450
2013,Purchase of Services,General Operating Fund,MDO-Office of Technology,Commercial off-shelf Comp Software,1921814.05
