FY,Character_Title,Fund_Title,Department_Title,SubObjTitle,budget
2014,Personal Services,Water Operating Fund,MDO-Office of Technology,Perm Full Time-civilian,4399350
2014,Personal Services,Water Operating Fund,MDO-Office of Technology,Plus/minus Gross Adj,96951
2014,Materials and Supplies,Water Operating Fund,MDO-Office of Technology,Printing,169200
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Rent/Lease-Purchase Computer Equipment,17797
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Repair and Maintenance Charges,26299
2014,Personal Services,Water Operating Fund,MDO-Office of Technology,Salary Control,51928
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Seminar and Training Sessions,5988
2014,Personal Services,Water Operating Fund,MDO-Office of Technology,Shift,1735
2014,Purchase of Services,Water Operating Fund,MDO-Office of Technology,Telephone,1091249
2014,Purchase of Services,Grants Revenue Fund,MDO-Office of Technology,Commercial off-shelf Comp Software,64023
2014,Materials and Supplies,Grants Revenue Fund,MDO-Office of Technology,Electrical and Communication,95820
2014,Purchase of Services,Grants Revenue Fund,MDO-Office of Technology,Information Technology-prof Service,248493
2014,Payments to Other Funds,Grants Revenue Fund,MDO-Office of Technology,Payments To Capital Projects Fund,1259529
2014,Payments to Other Funds,Grants Revenue Fund,MDO-Office of Technology,Payments To General Fund,24630696
2014,Purchase of Services,Airport Operating Fund,MDO-Office of Technology,Commercial off-shelf Comp Software,104309
2014,Equipment,Airport Operating Fund,MDO-Office of Technology,Computer Equipment & Peripherals,714430
2014,Purchase of Services,Airport Operating Fund,MDO-Office of Technology,Information Technology-prof Service,3812375
2014,Purchase of Services,Airport Operating Fund,MDO-Office of Technology,Maint/support-computr Hardware/soft,487532
2014,Personal Services,Airport Operating Fund,MDO-Office of Technology,Overtime-civilian,17
2014,Personal Services,Airport Operating Fund,MDO-Office of Technology,Perm Full Time-civilian,224056
2014,Personal Services,Airport Operating Fund,MDO-Office of Technology,Plus/minus Gross Adj,6314
2014,Purchase of Services,Airport Operating Fund,MDO-Office of Technology,Telephone,637457
2014,Purchase of Services,General Operating Fund,Mayor's Office,Advertising/Promotional Activities,5474
2014,Materials and Supplies,General Operating Fund,Mayor's Office,Books and Other Publications,4579
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Mayor's Office,Civil Rights - Attorney Fees,13525
2014,Equipment,General Operating Fund,Mayor's Office,Computer Equipment & Peripherals,173
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Mayor's Office,Contract Claims-city Breach Contrct,175680
2014,Purchase of Services,General Operating Fund,Mayor's Office,Dues,97440
2014,Materials and Supplies,General Operating Fund,Mayor's Office,Food,3818
2014,Purchase of Services,General Operating Fund,Mayor's Office,Maint/support-computr Hardware/soft,1550
2014,Purchase of Services,General Operating Fund,Mayor's Office,Meals-non-travel & officl Entertain,10755
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Mayor's Office,Meritorious Awards,200000
2014,Materials and Supplies,General Operating Fund,Mayor's Office,Office Materials and Supplies,18135
2014,Personal Services,General Operating Fund,Mayor's Office,Perm Full Time-civilian,3860514
2014,Personal Services,General Operating Fund,Mayor's Office,Perm Part Time,18227
2014,Personal Services,General Operating Fund,Mayor's Office,Plus/minus Gross Adj,10994
2014,Purchase of Services,General Operating Fund,Mayor's Office,Postage,242
2014,Materials and Supplies,General Operating Fund,Mayor's Office,"Precision, Photographic and Artists",995
2014,Materials and Supplies,General Operating Fund,Mayor's Office,Printing,6829
2014,Purchase of Services,General Operating Fund,Mayor's Office,Professional Consult/spec Services,728983
2014,Purchase of Services,General Operating Fund,Mayor's Office,Rents,4589
2014,Purchase of Services,General Operating Fund,Mayor's Office,Repair and Maintenance Charges,20082
2014,Personal Services,General Operating Fund,Mayor's Office,Salary Control,41800
2014,Purchase of Services,General Operating Fund,Mayor's Office,Seminar and Training Sessions,2635
2014,Purchase of Services,General Operating Fund,Mayor's Office,Telephone,77
2014,Personal Services,General Operating Fund,Mayor's Office,Temporary/seasonal,24835
2014,Purchase of Services,General Operating Fund,Mayor's Office,Transportation,50086
2014,Equipment,Grants Revenue Fund,Mayor's Office,Computer Equipment & Peripherals,1166
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office,Information Technology-prof Service,125
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office,Meals-non-travel & officl Entertain,1823
2014,Equipment,Grants Revenue Fund,Mayor's Office,Office Equipment,678
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office,Office Materials and Supplies,6074
2014,Personal Services,Grants Revenue Fund,Mayor's Office,Perm Full Time-civilian,191227
2014,Personal Services,Grants Revenue Fund,Mayor's Office,Perm Part Time,81939
2014,Personal Services,Grants Revenue Fund,Mayor's Office,Plus/minus Gross Adj,2231
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office,Printing,2580
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office,Professional Consult/spec Services,530524
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office,Repair and Maintenance Charges,804
2014,Personal Services,Grants Revenue Fund,Mayor's Office,Salary Control,54
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office,Seminar and Training Sessions,500
2014,Personal Services,Grants Revenue Fund,Mayor's Office,Temporary/seasonal,683567
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office,Transportation,1847
2014,Payments to Other Funds,General Operating Fund,Office of Housing,Payments To Grants Revenue Fund,50959
2014,Purchase of Services,General Operating Fund,Office of Housing,Professional Consult/spec Services,4009500
2014,Personal Services,Grants Revenue Fund,Office of Housing,FICA Taxes,14122
2014,Purchase of Services,Grants Revenue Fund,Office of Housing,Ground and Building Rental,57629
2014,Personal Services,Grants Revenue Fund,Office of Housing,Group Legal Insurance,84
2014,Personal Services,Grants Revenue Fund,Office of Housing,Group Life Insurance,512
2014,Personal Services,Grants Revenue Fund,Office of Housing,Medical Health & Welfare Credit,39095
2014,Personal Services,Grants Revenue Fund,Office of Housing,Medicare Tax,3303
2014,Personal Services,Grants Revenue Fund,Office of Housing,Pension-actual,190419
2014,Personal Services,Grants Revenue Fund,Office of Housing,Pension-obligation Bond Payments,31466
2014,Personal Services,Grants Revenue Fund,Office of Housing,Perm Full Time-civilian,242614
2014,Purchase of Services,Grants Revenue Fund,Office of Housing,Professional Consult/spec Services,41018910
2014,Purchase of Services,Grants Revenue Fund,Office of Housing,Seminar and Training Sessions,727
2014,Purchase of Services,Grants Revenue Fund,Office of Housing,Transportation,609
2014,Personal Services,Grants Revenue Fund,Office of Housing,Worker's Comp-disability Comp,3858
2014,Purchase of Services,Community Development Fund,Office of Housing,Advertising/Promotional Activities,28860
2014,Materials and Supplies,Community Development Fund,Office of Housing,Books and Other Publications,1939
2014,Purchase of Services,Community Development Fund,Office of Housing,Cleaning and Laundering,60
2014,Purchase of Services,Community Development Fund,Office of Housing,Commercial off-shelf Comp Software,3973
2014,Purchase of Services,Community Development Fund,Office of Housing,Dues,962
2014,Materials and Supplies,Community Development Fund,Office of Housing,Gasoline,3177
2014,Purchase of Services,Community Development Fund,Office of Housing,Ground and Building Rental,322431
2014,Purchase of Services,Community Development Fund,Office of Housing,Information Technology-prof Service,2423
2014,Purchase of Services,Community Development Fund,Office of Housing,Legal Services,203
2014,Purchase of Services,Community Development Fund,Office of Housing,Maint/support-computr Hardware/soft,25254
2014,Purchase of Services,Community Development Fund,Office of Housing,Meals-non-travel & officl Entertain,220
2014,Equipment,Community Development Fund,Office of Housing,Office Equipment,1206
2014,Materials and Supplies,Community Development Fund,Office of Housing,Office Materials and Supplies,73355
2014,Personal Services,Community Development Fund,Office of Housing,Overtime-civilian,8619
2014,Payments to Other Funds,Community Development Fund,Office of Housing,Payments To General Fund,19909
2014,Personal Services,Community Development Fund,Office of Housing,Perm Full Time-civilian,2212693
2014,Personal Services,Community Development Fund,Office of Housing,Plus/minus Gross Adj,2971
2014,Purchase of Services,Community Development Fund,Office of Housing,Postage,25124
2014,Materials and Supplies,Community Development Fund,Office of Housing,Printing,51015
2014,Purchase of Services,Community Development Fund,Office of Housing,Professional Consult/spec Services,43786261
2014,Purchase of Services,Community Development Fund,Office of Housing,Rents,10841
2014,Purchase of Services,Community Development Fund,Office of Housing,Repair and Maintenance Charges,23589
2014,Personal Services,Community Development Fund,Office of Housing,Salary Control,14852
2014,Purchase of Services,Community Development Fund,Office of Housing,Seminar and Training Sessions,11964
2014,Purchase of Services,Community Development Fund,Office of Housing,Telephone,12464
2014,Personal Services,Community Development Fund,Office of Housing,Temporary/seasonal,4965
2014,Purchase of Services,Community Development Fund,Office of Housing,Transportation,397
2014,Personal Services,Housing Trust Fund,Office of Housing,Perm Full Time-civilian,950000
2014,Purchase of Services,Housing Trust Fund,Office of Housing,Professional Consult/spec Services,20550000
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Advertising/Promotional Activities,16187
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Books and Other Publications,81
2014,Equipment,Grants Revenue Fund,Mayor's Office-Community Services,Computer Equipment & Peripherals,42
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Dry Goods/notions/wearing Apparel,1848
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Dues,5886
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Electrical and Communication,459
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,FICA Taxes,61948
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Ground and Building Rental,407968
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Group Life Insurance,4515
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,"Janitorial, Laundry and Household",25
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Maint/support-computr Hardware/soft,2775
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Meals-non-travel & officl Entertain,7309
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Medical Health & Welfare Credit,279423
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Medicare Tax,11218
2014,Equipment,Grants Revenue Fund,Mayor's Office-Community Services,Office Equipment,26576
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Office Materials and Supplies,6796
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Payments For Care of Individuals,147518
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Pension-actual,58038
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Pension-obligation Bond Payments,1021
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Perm Full Time-civilian,1948283
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Perm Part Time,94
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Plus/minus Gross Adj,25547
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Postage,2138
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,"Precision, Photographic and Artists",1632
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Printing,1160
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Professional Consult/spec Services,8966570
2014,Materials and Supplies,Grants Revenue Fund,Mayor's Office-Community Services,Recreational and Educational,159
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Refuse/garbage/silt/sludge Removal,1001
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Repair and Maintenance Charges,3540
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Salary Control,25516
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Seminar and Training Sessions,7990
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Telephone,6466
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Temporary/seasonal,311
2014,Purchase of Services,Grants Revenue Fund,Mayor's Office-Community Services,Transportation,7216
2014,Equipment,Grants Revenue Fund,Mayor's Office-Community Services,Vehicles -- Motor and Motorless,138221
2014,Personal Services,Grants Revenue Fund,Mayor's Office-Community Services,Worker's Comp-disability Comp,26269
2014,Purchase of Services,General Operating Fund,Managing Director,Advertising/Promotional Activities,375
2014,Materials and Supplies,General Operating Fund,Managing Director,Agricultural and Botanical,1184
2014,Equipment,General Operating Fund,Managing Director,Agricultural and Botanical,17081
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Auto - Motor Vehicle,70000
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Auto-motor Vehicle/non-punitive Dam,1000
2014,Materials and Supplies,General Operating Fund,Managing Director,Books and Other Publications,9643
2014,Materials and Supplies,General Operating Fund,Managing Director,Building and Construction,163681
2014,Purchase of Services,General Operating Fund,Managing Director,Commercial off-shelf Comp Software,164579
2014,Equipment,General Operating Fund,Managing Director,Computer Equipment & Peripherals,5275
2014,Materials and Supplies,General Operating Fund,Managing Director,Dry Goods/notions/wearing Apparel,26565
2014,Personal Services,General Operating Fund,Managing Director,Dual/relief-full time-civilian,160
2014,Purchase of Services,General Operating Fund,Managing Director,Dues,24897
2014,Materials and Supplies,General Operating Fund,Managing Director,Electrical and Communication,336
2014,Equipment,General Operating Fund,Managing Director,Electrical Lighting Communication,342
2014,Materials and Supplies,General Operating Fund,Managing Director,Fire Fighting and Safety,12247
2014,Materials and Supplies,General Operating Fund,Managing Director,Food,2103
2014,Equipment,General Operating Fund,Managing Director,Furniture and Furnishings,8035
2014,Materials and Supplies,General Operating Fund,Managing Director,General Equipment and Machinery,13435
2014,Equipment,General Operating Fund,Managing Director,General Equipment and Machinery,31364
2014,Materials and Supplies,General Operating Fund,Managing Director,General Hardware and Minor Tools,2365
2014,Purchase of Services,General Operating Fund,Managing Director,Ground and Building Rental,21435
2014,Personal Services,General Operating Fund,Managing Director,"Holiday ""G""(2/3 Shifts)",4038
2014,Materials and Supplies,General Operating Fund,Managing Director,Hospital and Laboratory,633
2014,Purchase of Services,General Operating Fund,Managing Director,Information Technology-prof Service,84089
2014,Materials and Supplies,General Operating Fund,Managing Director,"Janitorial, Laundry and Household",118842
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Labor Standards Board Awards,263408
2014,Purchase of Services,General Operating Fund,Managing Director,Legal Services,48007282
2014,Purchase of Services,General Operating Fund,Managing Director,Licenses Permits Inspection Charges,35
2014,Materials and Supplies,General Operating Fund,Managing Director,Liquid Propane Gas (LPG),434
2014,Materials and Supplies,General Operating Fund,Managing Director,Lubricants,409
2014,Purchase of Services,General Operating Fund,Managing Director,Maint/support-computr Hardware/soft,21112
2014,Purchase of Services,General Operating Fund,Managing Director,Meals-non-travel & officl Entertain,587
2014,Materials and Supplies,General Operating Fund,Managing Director,Motor Vehicle Parts and Accessories,8023
2014,Equipment,General Operating Fund,Managing Director,Office Equipment,13824
2014,Materials and Supplies,General Operating Fund,Managing Director,Office Materials and Supplies,38653
2014,Purchase of Services,General Operating Fund,Managing Director,Other Expenses (Not Otherwise Classified),152375
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Other Non-automotive,11000
2014,"Contributions, Indemnities, Refunds, Taxes",General Operating Fund,Managing Director,Other Non-automotive/non-punitive,1173
2014,Purchase of Services,General Operating Fund,Managing Director,Overtime Meals,522
2014,Personal Services,General Operating Fund,Managing Director,Overtime-civilian,476824
2014,Personal Services,General Operating Fund,Managing Director,Overtime/shift-uniform,175000
2014,Personal Services,General Operating Fund,Managing Director,Perm Full Time-civilian,14184604
2014,Personal Services,General Operating Fund,Managing Director,Perm Full Time-uniform,101264
2014,Personal Services,General Operating Fund,Managing Director,Perm Part Time,21582
2014,Personal Services,General Operating Fund,Managing Director,Plus/minus Gross Adj,106633
2014,Purchase of Services,General Operating Fund,Managing Director,Postage,10055
2014,Equipment,General Operating Fund,Managing Director,"Precision, Photographic and Artists",5518
2014,Materials and Supplies,General Operating Fund,Managing Director,"Precision, Photographic and Artists",4123
2014,Materials and Supplies,General Operating Fund,Managing Director,Printing,8442
2014,Purchase of Services,General Operating Fund,Managing Director,Professional Consult/spec Services,9496272
2014,Purchase of Services,General Operating Fund,Managing Director,Purchase of Services Control,48034
2014,Materials and Supplies,General Operating Fund,Managing Director,Recreational and Educational,1658
2014,Purchase of Services,General Operating Fund,Managing Director,Rent/Lease-Purchase Computer Equipment,27190
2014,Purchase of Services,General Operating Fund,Managing Director,Rents,147161
2014,Purchase of Services,General Operating Fund,Managing Director,Repair and Maintenance Charges,68172
2014,Personal Services,General Operating Fund,Managing Director,Salary Control,100884
2014,Purchase of Services,General Operating Fund,Managing Director,Seminar and Training Sessions,35948
2014,Personal Services,General Operating Fund,Managing Director,Shift,23750
2014,Personal Services,General Operating Fund,Managing Director,Sick Pay(b Time)-civilian,25653
2014,Materials and Supplies,General Operating Fund,Managing Director,Small Power Tools and Hand Tools,12339
2014,Purchase of Services,General Operating Fund,Managing Director,Telephone,33838
2014,Personal Services,General Operating Fund,Managing Director,Temporary/seasonal,477244
2014,Purchase of Services,General Operating Fund,Managing Director,Transportation,88642
2014,Equipment,General Operating Fund,Managing Director,Vehicles -- Motor and Motorless,2075
2014,Purchase of Services,General Operating Fund,Managing Director,Witness Fees,4531
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Books and Other Publications,5565
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Chemicals and Gases,1527
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Commercial off-shelf Comp Software,39870
2014,Equipment,Grants Revenue Fund,Managing Director,Computer Equipment & Peripherals,40198
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Dry Goods/notions/wearing Apparel,62760
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Electric Current-structures/streets,11691
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Electrical and Communication,1137
2014,Equipment,Grants Revenue Fund,Managing Director,Electrical Lighting Communication,24589
2014,Personal Services,Grants Revenue Fund,Managing Director,FICA Taxes,3937
2014,Equipment,Grants Revenue Fund,Managing Director,Fire Fighting and Emergency,12480
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Fire Fighting and Safety,8374
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Food,746
2014,Equipment,Grants Revenue Fund,Managing Director,Furniture and Furnishings,1500
2014,Personal Services,Grants Revenue Fund,Managing Director,Group Life Insurance,34
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Hospital and Laboratory,16000
2014,Equipment,Grants Revenue Fund,Managing Director,Hospital and Laboratory,7570
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Meals-non-travel & officl Entertain,175
2014,Personal Services,Grants Revenue Fund,Managing Director,Medical Health & Welfare Credit,10347
2014,Personal Services,Grants Revenue Fund,Managing Director,Medicare Tax,921
2014,Equipment,Grants Revenue Fund,Managing Director,Office Equipment,2724
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Office Materials and Supplies,10497
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Payments For Care of Individuals,201996
2014,Personal Services,Grants Revenue Fund,Managing Director,Pension-actual,5469
2014,Personal Services,Grants Revenue Fund,Managing Director,Perm Full Time-civilian,1248757
2014,Personal Services,Grants Revenue Fund,Managing Director,Plus/minus Gross Adj,2247
2014,Equipment,Grants Revenue Fund,Managing Director,"Precision, Photographic and Artists",7525
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Printing,560
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Professional Consult/spec Services,1429980
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Purchase of Services Control,373
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Rents,37001
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Repair and Maintenance Charges,37183
2014,Personal Services,Grants Revenue Fund,Managing Director,Salary Control,14052
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Seminar and Training Sessions,22904
2014,Materials and Supplies,Grants Revenue Fund,Managing Director,Small Power Tools and Hand Tools,38999
2014,Personal Services,Grants Revenue Fund,Managing Director,Temporary/seasonal,9900
2014,Purchase of Services,Grants Revenue Fund,Managing Director,Transportation,23625
